Collections,Sales,Buyers,Txns,Owners
CryptoArte,"$18,755,568","4,607","10,622","3,513"
Gutter Rats,"$18,478,491","2,479","4,407",
Jadu Hoverboard,"$18,469,354","6,319","9,316",
R Planet,"$18,449,107","12,559","118,719","13,308"
Degen Toonz,"$18,323,780","7,114","15,565",
BYOPills,"$18,286,392","5,432","13,142","3,317"
Monkey Bet DAO,"$18,144,442","6,972","14,865","4,011"
The Yakuza Cats Society,"$17,966,483","6,302","15,106","3,485"
Incognito,"$17,771,138","5,402","16,463","3,245"
Starcatchers,"$17,735,013","5,656","10,164",
Mike Tyson NFT,"$17,646,169",772,"1,441",322
WVRPS by Warpsound,"$16,738,884","6,495","13,852",
Terraforms,"$16,727,342","3,722","10,071",
Topps MLB,"$16,721,055","16,800","612,849","35,611"
The Doggies,"$16,707,267","4,711","8,381",
Lonely Alien Space Club,"$16,576,227","5,454","14,181","4,020"
HOWLERZ,"$16,545,911","3,074","6,543",
Illuminati,"$16,368,174","5,545","10,600",
NFL All Day,"$16,073,000","22,084","298,319","78,091"
Infinity Labs,"$16,063,667","4,176","11,962","2,945"
BYOLand,"$15,446,638","3,360","6,511",
Jenkins the Valet The Writers Room,"$15,377,686","4,498","9,650","3,117"
Space Runners,"$15,356,319","2,076","8,707","5,277"
Kitty Crypto Gang,"$15,335,269","5,666","10,831",
Catalina Whale Mixer,"$15,187,856","4,771","10,579","2,215"
The Official Surreals,"$15,010,585","6,723","13,150","5,056"
Monkey Kingdom,"$14,871,225","1,703","3,786","1,023"
8SIAN,"$14,854,504","8,009","14,020",
Apes In Space,"$14,846,329","9,992","13,819",
Avid Lines,"$14,820,471",289,515,261
Dapper Dinos NFT,"$14,807,060","5,420","12,033","4,251"
World Poker Tour,"$14,731,951","1,176","6,974","1,660"
The Wanderers,"$14,407,865","6,570","13,504","4,252"
Clementines Nightmare,"$14,273,481","7,295","9,719",
Rogue Sharks,"$14,207,332","7,281","17,548","6,206"
BrainDrops,"$14,193,718","2,367","6,823","2,375"
Farm Land by Pixels,"$14,157,225","5,853","10,456",
Bulls On The Block,"$14,145,113","6,845","19,796","4,843"
Async Blueprints,"$13,993,430","1,105","1,803","3,320"
uwucrew,"$13,977,551","7,016","15,665",
Undead Pastel Club,"$13,882,507","8,345","13,475",
Fat Ape Club,"$13,845,526","4,388","7,355","5,370"
Crypto Cannabis Club,"$13,776,410","5,640","12,972","4,434"
Stoned Ape Crew,"$13,693,144","3,613","8,150","4,258"
Dead Heads,"$13,465,786","5,150","15,185","3,430"
SoulZ Monogatari,"$13,379,991","9,237","15,432",
PUNKS Comics 2,"$13,240,027","6,527","9,735","6,806"
Nuclear Nerds,"$13,206,544","6,444","14,517",
The Flower Girls,"$13,128,256","7,084","14,184","4,169"
StackedToadz,"$13,037,182","2,206","4,723","1,377"
The Indifferent Duck,"$12,791,208","8,089","15,846",
Alpha Kongs Club,"$12,600,055","7,375","11,500",
Chicken Derby,"$12,515,085","5,462","24,639","5,941"
Monfters Club,"$12,496,565","6,179","13,204",
CreatureToadz,"$12,412,765","5,484","10,801","4,673"
